,timer,WCR IN,Welding Current,Welding Voltage,X offset,Z offset,PLUS Integral,MINUS Integral,Standard_Arc_Current,ALL Integral,x up,x ui,z up,z ui,x,y,z,welding on/off polyscope,touch on/off polyscope,ratio_t,get_wcr polyscope,get_touch polyscope,write_welder,peak_vlaue,Arc_percent,set_current,set_voltage,set speed (cpm),set amplitude,set frequency,set x_offset,set z_offset,set rx,set ry
1745306718.2377796,8.392000198364258,0.0,331.0,30.0673770904541,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,30.722755432128906,0.7457898855209351,-0.5242866277694702,1.0,0.0,0.09756097197532654,1.0,0.0,1.0,50.0,92.88928985595703,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.771728515625,40.0
1745306718.3394754,8.496000289916992,0.0,348.0,30.196285247802734,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,30.848533630371094,0.6293578743934631,-0.5187729597091675,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,50.0,9.2967529296875,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306718.4417229,8.600000381469727,0.0,324.0,30.164060592651367,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,29.446664810180664,-1.1807630062103271,-0.5740596652030945,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,0.0,63.46711349487305,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306718.543499,8.704000473022461,0.0,319.0,30.002927780151367,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,28.172809600830078,-2.6475539207458496,-0.5941769480705261,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,50.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306718.6453001,8.807999610900879,0.0,334.0,30.099611282348633,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,29.859411239624023,-1.6939581632614136,-0.5451714992523193,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,0.0,22.478408813476562,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306718.7469335,8.911999702453613,0.0,336.0,29.938478469848633,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,31.883798599243164,-0.703330397605896,-0.4551675617694855,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,0.0,47.78213882446289,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306718.8479006,9.008000373840332,0.0,342.0,29.841794967651367,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,33.551612854003906,-0.0292523056268692,-0.4438706636428833,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,0.0,69.49354553222656,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306718.9488995,9.112000465393066,0.0,346.0,30.0673770904541,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,35.3076171875,0.6170264482498169,-0.4755525290966034,1.0,0.0,0.10975609719753265,1.0,0.0,1.0,50.0,93.80682373046875,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-72.30704498291016,40.0
1745306719.050557,9.215999603271484,0.0,330.0,30.002927780151367,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,35.19940185546875,0.43483370542526245,-0.6993219256401062,1.0,0.0,0.12195122241973877,1.0,0.0,1.0,50.0,12.789426803588867,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-71.84235382080078,40.0
1745306719.1519537,9.319999694824219,0.0,333.0,30.0673770904541,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,33.93431091308594,-1.3358386754989624,-1.004098892211914,1.0,0.0,0.12195122241973877,1.0,0.0,1.0,0.0,62.01983642578125,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-71.84235382080078,40.0
1745306719.2531726,9.423999786376953,0.0,325.0,30.1318359375,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,32.6950798034668,-2.9758360385894775,-1.3365181684494019,1.0,0.0,0.12195122241973877,1.0,0.0,1.0,50.0,102.26652526855469,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-71.84235382080078,40.0
1745306719.3546276,9.520000457763672,0.0,333.0,29.970703125,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,34.1143798828125,-2.0917341709136963,-1.2577323913574219,1.0,0.0,0.12195122241973877,1.0,0.0,1.0,0.0,19.0372371673584,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-71.84235382080078,40.0
1745306719.4561555,9.62399959564209,0.0,333.0,30.1318359375,0.6682099103927612,1.600000023841858,340.6515197753906,332.4166564941406,310.0,336.5340881347656,0.6682099103927612,0.0,-1.600000023841858,0.0,36.068485260009766,-1.1697807312011719,-1.2105166912078857,1.0,0.0,0.12195122241973877,1.0,0.0,1.0,0.0,46.075504302978516,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-71.84235382080078,40.0
